label,g__Turicibacter,g__Parabacteroides,g__[Ruminococcus],g__Sutterella,f__Peptostreptococcaceae_g__,g__Ruminococcus,g__Veillonella,g__Bacteroides,g__Eggerthella,g__Faecalibacterium,g__Coprococcus,f__Lachnospiraceae_g__,g__Neisseria,g__Haemophilus,g__Blautia,f__Enterobacteriaceae_g__,g__Klebsiella,g__Dorea,g__Dialister,g__Anaerostipes,g__Phascolarctobacterium,g__Staphylococcus,g__Actinomyces,f__Gemellaceae_g__,g__Akkermansia,g__Oscillospira,o__Lactobacillales_g__,g__Adlercreutzia,g__Odoribacter,f__Clostridiaceae_g__,g__Prevotella,g__Roseburia,g__Lachnospira,o__Clostridiales_g__,g__Granulicatella,f__Erysipelotrichaceae_g__,f__Ruminococcaceae_g__,g__Clostridium,g__Streptococcus,g__Aggregatibacter,g__Fusobacterium,g__Conchiformibius,g__Bifidobacterium,g__Collinsella,g__Holdemania,g__[Eubacterium],f__Rikenellaceae_g__,g__Bilophila
s120_CD,3,1,11400,2,3,105,12,11,1,8,4,5713,1,49,15,8459,2,600,4,1,2,1,10,9,1,2297,2,1,1,2,3,5,2,11,21,165,7,2,70,1,2,1,7,1,1,46,5,2
s121_CD,1,703,1253,189,1,90,3,4153,6,192,23,663,1,2,158,1,1,11,1,1,83,1,2,13,1,52,1,3,18,1,1,45,8,104,3,3,124,2,6,2,1,1,5,1,78,6,19,9
s122_CD,1,5204,4245,4235,462,1,503,21347,7,21,1,3370,5,725,1022,8922,1,5,7,1,1,1,7,22,1,612,4,1,377,278,20,355,1,283,11,226,1971,1,253,23,9,1,61,1,1,473,366,2
s123_CD,1,1,8,2,5,1,154,7,1,2,1,2,1,3807,1,799,1221,1,1,1,1,1,11,6,1,1,37,1,1,8,3,1,1,2,1,1,141,28,50,191,1,69,1,1,1,1,1,1
s124_CD,1,38,32,117,1,1,94,2767,1,264,2,53,160,3710,1,30,1,1,6,1,1,1,5,43,11,5,2,1,6,7,14,1,1,4,25,32,3,3,134,463,995,27,1,1,1,1,6,29
s125_CD,1,422,293,1260,11,66,2,4553,5,568,9,593,2,150,187,8,1,5,455,1,1,1,3,1,1,239,1,1,95,7,4,95,1,649,4,60,534,1,10,2,1,1,7,1,30,1,286,148
s126_CD,1,505,387,1439,1,2,166,4926,6,2181,27,1648,19,686,9,138,1,78,4,1,1,1,1,3,1,114,1,1,62,5,7,2,1,154,6,66,227,1,29,104,291,3,3,1,1,4,5,188
s127_CD,2,14,695,33,7,2,25,15300,8,9,1,540,13,390,37,1379,23,122,118,1,1,1,12,8,1,99,4,1,1,22,23,1,1,48,36,44,56,1,42,116,557,7,2,1,1,101,2,1
s128_CD,1,617,294,1143,7,8,42,8346,5,4274,62,875,4,522,82,359,1,42,609,2,42,1,1,4,599,33,8,1,1,17,15,7,1,351,7,166,892,1,29,71,49,1,8,24,6,6,840,556
s129_CD,1,760,595,1953,178,1638,24,19677,1,4303,1,2587,3,28,1182,74,2,3,30,1,959,5,6,8,3,578,1,1,661,38,1,1428,42,200,17,758,2997,5,34,2,9,1,1,2,108,169,3083,385
s130_CD,1,1154,128,1402,28,213,233,11427,10,7763,48,1868,78,7273,109,34,1,385,52,12,1,1,7,15,5956,496,1,1,206,7,1,66,11,682,38,55,376,12,201,4173,189,3,6,1,13,25,2584,2
s131_CD,1,964,415,2007,1,3,48,23454,8,1406,10,1416,133,1059,161,1576,10,25,14,1,625,2,14,47,3,4,1,1,3,7,1391,17,1,99,11,68,76,1,71,115,133,2,15,1,1,1,5,288
s132_CD,2,1847,396,1257,51,59,34,15002,3,4393,166,1917,9,271,641,2,1,344,209,1,1,10,1,1,1,235,1,6,1,18,1,323,92,1197,1,218,1733,30,43,24,9,1,20,43,26,2,597,1
s133_CD,1,2,1226,2746,95,45,147,17021,5,7560,77,5014,26,2199,890,1714,3,278,4908,2,1,1,13,11,1,651,1,1,1,40,1,1225,56,1176,9,476,1186,25,159,120,100,1,14,1,1,123,2,1903
s134_CD,1,262,489,1202,1,19,247,6769,1,3016,147,994,40,135,1,114,6,2,109,1,1,2,3,14,2,286,1,1,1,1,1,1,1,112,2,164,271,1,13,24,18,1,59,9,1,2,3,1
s135_CD,5,83,228,1911,1,1,93,22065,167,6096,3,2725,102,451,3,840,3,457,9,1,1,2,5,35,1151,35,2,1,1,1,4,1,1,206,8,188,267,2,39,86,463,161,3,1,1,4,8,3
s136_CD,1,977,547,2,95,21,42,16109,16,6523,109,3384,49,587,343,17,7,106,1237,1,1,1,4,18,2,200,2,3,118,41,2,72,21,1847,6,801,1891,4,36,63,26,1,91,1,39,68,23,3
s137_CD,1,18,178,412,95,1032,51,14924,1,1516,131,4346,116,149,145,47,4,48,395,7,3,5,13,44,2,157,1,5,1,37,47,326,5,1037,8,176,829,1,60,28,55,5,20,9,8,89,449,3
s138_no,1,1,1,1838,1,1,4,10,1,1,1,4,10,19,1,19765,12,1,1,1,1,2,1,3,1,1,601,1,1,1,1,1,1,2,1,1,1,1,6,5,2,1,4,1,1,1,1,1
s139_CD,1,3,5,840,1,1,165,10156,1,981,1,215,4,1741,3,4627,21,1,1,1,1,1,2,2,1,7,1,1,1,1,1,1,1,216,2,20,97,1,12,7,181,2,1,1,1,1,1,9
s140_CD,1,4,4,44,1,1,168,11328,1,898,78,878,6,598,1,4,1070,7,1,1,1,18,13,114,1,3,74,1,1,1,2,1,1,3,19,223,109,1,45,71,32,1,5,1,1,1,1,4
s141_CD,1,7,1575,7,1,6,584,8821,9,37,5,329,11,799,33,6381,1,25,2,1,1,1,2,5,5,3,8,1,1,1,5,8,1278,87,9,190,12,64,179,9,142,1,59,1,1,53,2,1
s142_CD,1,1497,175,131,1,15,207,17974,3,5844,39,2173,103,195,76,416,14,45,63,1,1,2,7,28,4,404,2,1,115,2,3146,4,2,390,9,322,990,2,42,38,751,3,356,29,133,7,156,1068
s143_CD,1,3384,12,2936,1,2,72,11436,2,1681,3,620,66,959,2,582,871,1,5,1,29,1,10,19,1,3,2,1,51,251,4,2,1,28,10,3,272,33,28,19,549,27,8,1,1,1,4,7
s144_CD,1,141,2,4,1,3,381,11577,1,1439,1,463,31,1468,1,4038,9,4,35,1,2,1,4,20,1,18,1,1,1,1,1,1,1,11,3,12,245,1,17,14,7759,1,1,1,1,1,12,2
s145_CD,1,21,344,230,1,2,205,5621,1,1758,19,1412,22,16235,35,12,1,8,2,1,1,1,2,9,1,1,1,1,1,3,1,1,2,111,22,82,262,1,157,189,161,22,8,1,1,1,6,1
s146_CD,2,251,230,4068,4,4,291,12941,21,10400,6,4747,123,3737,12,2676,9,1001,719,1,1,2,8,31,3,336,1,1,1,100,1,148,2,438,6,611,793,104,58,970,877,106,25,1,1,8,4,1040
s147_CD,10,4475,1229,6055,278,3680,108,27940,11,8084,440,7972,143,196,2644,84,6,273,9,19,4,1,11,46,1,1351,1,1,2,125,8,682,596,1400,7,1518,6458,171,100,34,78,4,6,1,93,321,4346,4
s148_CD,1,944,174,1008,1,233,8,13235,8,4367,122,1536,5,11,174,855,3,85,719,1,1,2,2,3,3389,470,1,1,390,1,1,18,5,451,4,121,902,4,9,4,26,2,24,1,8,14,2459,124
s149_CD,1,1634,212,1786,8,94,138,10952,18,7134,36,1949,3,152,213,4,1,32,439,1,2,1,4,4,1,212,1,1,175,3,1,751,107,788,3,194,759,2,49,2,22,1,245,1,29,27,962,2
s150_CD,1,4,691,1433,1,8,60,19118,8,2553,193,1658,19,1092,80,840,3,120,40,1,1,1,2,18,1,307,1,1,1,1,2,88,15,212,2,242,521,5,10,231,1622,503,16,6,1,2,486,1429
s151_CD,1,6357,310,1666,1,63,16,23620,80,16,14,4346,27,325,109,716,1,134,99,1,1,1,2,12,5,241,1,1,1,2,1,4,1,738,7,303,559,11,25,4,8,3,16,1,34,59,2122,4
s152_CD,1,5,1532,133,1,20,46,10669,6,12613,382,6857,73,894,609,4863,1,136,1,5,1011,5,9,34,4,74,2,1,2,1,4,1256,17,7560,7,1253,2032,1,58,244,153,25,1,1,12,53,736,1
s153_CD,1,1491,276,1,7,87,1,2717,31,2450,188,694,1,1,908,1,1,17,1,1,124,1,1,1,356,223,1,49,1,45,1,653,188,750,2,165,575,52,60,1,1,1,211,6,1,32,364,1
s154_CD,57,2,1311,2,2929,445,6,296,4,1001,669,802,1,277,3146,4,1,61,1,1,1,4,20,16,1,10,12,2,1,1931,1,26,1,801,34,5,371,58,926,19,1,1,2843,1,19,6,1,14
s155_CD,1,826,409,1043,344,52,12,9953,24,3863,583,5322,1,48,471,12,9,376,90,16,463,1,4,68,1,871,1,1,1,36,2,19,714,676,1,1223,859,14,103,1,13,1,162,9,50,19,488,1
s156_CD,4,527,1435,21,164,42,1,1051,141,1,109,1061,1,1,1317,1,1,19,621,1,1,11,8,5,1,334,1,1,4,57,1,89,1,2734,2,437,123,1,217,1,1,1,1556,1,31,94,341,56
s157_CD,4,122,1304,1379,275,169,6,3186,2,844,750,1706,1,33,2210,35,1,168,1,30,432,1,2,4,2010,232,1,86,56,19,3,254,179,926,4,1078,3113,137,70,1,1,1,122,219,36,25,608,264
s158_CD,1,75,519,221,268,12,102,551,35,1293,158,603,1,11,1044,10,2,644,2179,1,1,1,11,13,1,50,1,1,1,17,490,51,1,191,16,62,129,1,2993,1,1,1,510,1,1,91,2,1
s159_CD,4,51,368,44,146,4,38,219,3,47,503,532,1,4,501,1,1,365,405,1,1,1,5,1,1,5,1,1,1,72,785,65,1,234,8,5,19,3,2288,1,1,1,961,1,1,20,2,1
s160_CD,60,1,1476,1,232,263,1,48,85,1,197,438,1,1,4573,502,1,278,1363,1,1,1,6,11,1,6,317,1,1,69,1,267,1,279,5,762,374,118,468,1,1,1,1,1,1,1037,1,1
s161_CD,1,2254,11,4851,1,1,346,13836,1,4,1,11,48,297,4,623,4,1,2,1,6,2,3,8,3,1,47,1,1,1,2,2,1,5,3,361,412,333,16,12,232,31,34,1,1,1,2,8
s162_CD,3,716,1296,688,2,122,6,9915,100,389,208,3091,1,5,1485,1,1,221,1,4,1,4,1,2,1,552,1,160,97,2,1,1,203,127,2,562,490,2,50,2,1,1,1,1,81,194,1,1
s163_CD,4,2,1739,2,478,12,10,18,31,1137,299,591,1,2,1183,5,1,238,2874,1,1,3,16,7,1,22,2,1,1,38,8,40,2,152,11,10,257,1,461,1,1,1,661,1,1,115,1,6
s164_CD,1,1250,219,55,59,205,3,3836,44,2363,213,1208,1,31,515,3,1,52,1,26,1,1,2,1,1,142,1,71,1,4,1,418,265,1594,3,200,848,208,284,1,4,1,145,21,6,14,1,1
s165_CD,1,1086,214,75,34,358,2,3811,68,2181,159,979,1,37,286,1,1,40,1,19,1,1,3,1,1,192,1,56,1,5,1,478,262,1734,1,226,868,152,258,1,1,1,212,158,7,15,1,1
s166_CD,6,231,1264,7,506,4867,1,537,2,2124,849,2301,1,1,2776,1,1,335,1326,29,6,1,5,1,1,244,1,121,4,120,119,220,3,1652,1,411,2690,79,15,1,1,1,3880,478,2,2,321,2
s167_CD,1,1,2232,1,17,6,27,4,1,1,2,482,3,1,2279,1120,16,243,1218,1,1,1,8,2,2538,3,3,1,1,11,1,2,1,1416,5,583,42,2,140,1,3,1,62,1,1,242,1,54
s168_CD,6,176,654,753,89,298,1,4680,4,949,240,943,1,15,1302,60,1,107,8,13,214,1,2,1,1323,215,1,89,117,13,1,244,127,432,3,349,2448,76,51,1,1,1,43,113,4,21,1103,180
s169_CD,1,686,221,580,56,9,11,3516,4,833,63,528,2,45,435,7,1,174,1060,1,1,1,4,4,62,129,1,1,1,40,1500,371,161,338,2,28,495,42,833,1,1,1,76,1,1,24,94,37
s170_CD,1,688,618,4852,2,1,936,17718,1,5536,236,1546,1,2273,18,1586,34,440,2747,1,1,1841,182,246,7,671,6,1,802,3,4,12,3,651,84,41,2588,3,2422,12,1859,1,4,1,1,1,8,193
s171_CD,4,98,361,373,957,56,6,4231,53,3582,174,1195,1,26,501,71,1,103,449,1,69,1,2,1,1,151,2,64,21,471,2,678,373,707,1,451,707,72,207,1,1,1,1328,1,23,133,2,1
s172_CD,1,17,1419,1,290,43,1681,1030,10,134,373,1818,2,2428,1001,2,1,665,161,26,1,1,17,16,1,1,1,1,1,205,2,12,38,192,6,911,676,12,2312,358,57,1,100,862,3,63,1,10
s173_CD,1,1,1,1,68,1,176,3,1,1,1,2,1,226,1,2124,1,1,1,1,1,1,12,1,1,1,184,1,1,4,1,1,1,1,1,1,15,1372,202,1,11,1,1,1,1,1,2,1
s174_CD,1,280,298,173,34,4,178,4095,1,4078,333,1777,1,44,480,280,1,177,161,1,323,2,4,7,1,401,1,1,1,21,876,19,20,519,1,1507,1054,1,1237,65,5,1,42,1035,5,4,1,1
s175_CD,1,639,454,264,48,10,50,3750,1,3808,600,2198,1,44,1331,221,1,605,3856,1,10,47,1,4,2,420,1,1,1,147,396,9,15,356,2,728,1976,1,546,16,1,1,2677,636,17,9,2,1
s176_CD,1,866,490,307,259,9,37,3534,1,2012,481,1854,2,60,784,39,1,255,2032,1,61,26,1,9,1,333,1,1,1,133,3110,11,47,487,1,1435,2219,62,194,44,2,1,448,491,6,10,1,1
s177_CD,1,628,214,721,97,173,8,2881,1,1940,197,895,1,42,287,12,1,128,1597,1,143,1,2,6,1,212,1,1,1,247,4511,393,119,356,5,272,1081,43,51,15,1,1,239,255,9,7,1,1
s178_CD,1,1,2,1,80,3,112,11,1,6,2,7,1,247,3,1901,1,1,3,1,1,1,7,2,1,1,156,1,1,1,6,5,1,5,6,1,17,1874,131,1,6,1,1,1,1,1,1,1
s179_CD,11,1,1144,2,295,22,5,3,21,1,170,327,1,35,2726,247,2,217,1,2,1,1,17,26,1,4,2,1,6,112,1,2,5,1278,5,674,20,2,182,2,1,1,1626,1,1,707,2,1
s180_CD,1,310,263,805,213,105,6,2685,1,1762,139,1098,1,32,531,29,1,166,1521,1,252,1,2,5,1,372,1,1,1,367,4505,419,75,234,1,200,1050,19,90,10,1,1,102,1,20,11,2,1
s181_no,25,52998,4832,12310,218,2,1448,39695,1,246,799,8421,1,962,890,10072,1,74,5,1,1,1,111,3,6,278,3,1,64,541,4,131,10872,5958,1,4007,558,2,980,14,25,1,4,1,1,74,6,7
s182_no,1,33,1311,722,4,93,15,26070,4,3642,206,1111,3,62,26,3074,4,30,84,1,3,7,3,116,68,189,3,3,3,15,8,134,17,20,11,666,462,1,193,8,15,2,13,1,1,333,6,160
s183_CD,1,72,2266,67,1327,3,150,37396,1,288,148,4316,1,188,105,24851,76,896,9,1,190,3,25,44,10,5,9,1,12,273,11,21,90,321,7,354,673,1,323,21,40,1,4,2,2,3,9,22
s184_CD,1,56,6,1334,3,1,435,54549,1,15,2,13986,157,288,65,12511,2648,147,3,1,1,30,26,1,5,2679,1,1,50,1,5,3,2,654,1,6,577,1,495,6,10,298,1,1,2,1,132,6754
s185_CD,1,330,404,14,1,46,618,2853,1,1038,43,274,2,13853,267,18827,48,7,408,1,2,81,1,187,6,66,4,1,1,1,4,11,3,64,127,58,1509,2,822,3641,18,1,79,1,3,1,5,12
s186_no,1,617,10427,3397,1117,309,2799,165135,19,256900,1596,14031,1,11272,232,10568,9,342,48,1,1713,1,5,2,30,967,13,2,3,4154,27,14036,160,19753,15,7956,9809,6,340,165,1039,6,1182,214,6,139,43,566
s187_CD,1,543,181,5276,2,148,67,26363,1,4322,4,1032,22,6506,7,50013,11,42,5461,1,1,37,40,494,18,154,9,1,153,3,14,78,4,121,78,33,348,1,412,3244,9971,3,28,37,25,21,393,1502
s188_CD,1,6,40,3,1,1,1540,277,1,273,1,159,35,1015,98,13660,800,40,642,1,1,1,1,1,32,1,2,1,1,2,2,3,2,23,118,3,312,1,32,636,5308,34,1,1,1,1,2,3
s189_no,1,1,44,483,876,1,2,5975,1,1163,6,312,1,128,1,81,1,120,379,1,1,1,134,29,2,1,3,1,1,157,2,281,1,79,28,204,584,1,580,2,3,1,1,2,1,1,2,1
s190_CD,1,116,60,1283,1,12,30,14569,1,4334,5,2489,1,116,77,26,1,20,301,1,1,2,1,14,5,258,6,1,263,1,4,51,32,274,1,99,2522,2,53,44,5,1,4,1,44,1,1563,485
s191_CD,1,3,2517,36,1,92,55,4143,1,14,2,1140,1,11,67,17008,2,6472,3,1,177,34,24,1,5,200,15,1,1,1,1,189,48,169,1,2758,118,1,684,2,7,1,23,1,2,68,2,6
s192_no,1,885,7179,203,1,704,664,10269,1,14208,648,7488,1,1531,151,61,1,418,4,1,335,1,1,1,2,142,2,1,126,1,9618,2172,47,4191,2,1751,2409,372,4528,7,157,1,12,63,1,1,609,882
s193_CD,1,44,6364,34,270,1289,26,61391,1,64627,785,16040,1,966,6152,111,1,3157,1326,100,4,1,28,272,12,1332,5,1,2,45,9,3939,1025,1546,1,3597,6284,1,132,12,35,3,5,87,650,29,6,12
s194_CD,1,18,6432,64,558,296,2183,15989,1,252,1,22882,3,54,1,169,2,7474,3,1,2,59,1,58,458,317,3,1,1,162,2,6417,3,12968,1,81,1808,3,96,3,202,1,4,1,1,1,8,8
s195_CD,1,9648,2950,32,3,76,1518,137873,265,113436,67,5768,2,2453,295,15782,5,1032,20317,1,3,2,7,46,19,1584,4,1,2103,4,11,865,6,943,23,525,3250,8,227,588,88764,12,449,3,16,95,21458,6980
s196_CD,1,276,479,1687,1,1,208,39538,47,3792,4,1433,196,4469,24,2447,6,325,4,1,2,1,15,88,10,6,4,1,1,108,60,63,6,581,49,865,745,1,508,44697,972,1,1,1,1,2,100,8
s197_no,9,95,20050,11,9,386,290,84057,98,2382,560,24891,1,459,299,6398,12,12649,20,12,1918,12,29,2,7,68,4,1,8,2,5,7076,3,2283,50,8926,1582,3,126,6,26,1,3,1,11,343,20,238
s198_CD,11,1483,1591,2381,296,385,25,32132,1,3227,155,3702,3,138,1627,34,3,631,5,266,389,4,2,2,2568,588,1,5,906,55,14,793,32,1787,2,594,6089,135,29,2,7,1,102,30,93,64,4120,306
s199_CD,1,8,3291,5129,8,16,2283,295,1,22,2,1270,17,748,17,1738,625,4954,296,3,5,6,2,1,13,8,5,1,2,104,6,411,1,27,19,599,2259,21,84,112,10672,74,422,2,1,12,21,9
s200_CD,1,721,1042,2728,13,27,8,18986,3,6955,648,2100,3,2327,314,1425,4,326,2,11,235,1,5,11,1,577,1,1,2585,5,7,16,38,666,28,219,1092,9,152,75,7,2,19,50,15,13,3965,483
s201_CD,1,879,576,1899,5,3,194,14156,8,6220,60,3621,1,28,69,523,1,13,1,1,1,4,2,3,1058,62,2,1,336,1,6,11,1,114,3,470,676,1,3,3,21,1,6,1,1,1,95,1
s202_CD,1,477,332,1689,12,25,144,19969,1,3822,25,1574,6,121,717,30,1,450,216,1,1,1,1,1,31,151,1,1,267,1,38,6,496,590,12,113,1116,1,83,226,63,6,21,1,3,164,279,2
s203_CD,1,2008,26,93,1,1,32,13979,10,455,2,1059,1,5,1,4610,10,3,24,1,1,22,1,1,1,9,2,1,98,1,12,1,1,18,7,9,408,1,8,2,1625,88,1,1,1,1,31,8
s204_no,4,538,566,72,71,16,138,13098,6,3308,80,1393,1,2125,265,960,4,22,3,9,1,4,1,1,1,22,1,3,1,151,1,930,2,723,5,249,340,5,57,2,2,1,21,1,1,86,1,67
s205_CD,2,3814,514,4535,914,34,174,59101,6,4323,105,2984,4,4538,351,9277,23,88,989,2,542,1,1,6,3,610,7,1,2487,115,8,73,70,2151,16,722,1749,69,605,57,20,3,33,1,69,26,1975,450
s206_CD,1,4135,184,3762,206,22,85,63304,4,3642,37,1424,9,4082,164,7989,20,34,657,1,357,1,1,9,3,724,2,1,2466,25,4,66,27,1168,10,518,1696,56,368,45,10,2,43,13,88,13,2262,1212
s207_CD,1,175,1249,3104,5,25,8,17545,1,248,154,3118,3,352,82,412,3,56,4,1,3,14,2,1,2,10,1,1,16,3,1,9,1,449,5,1761,457,4,18,77,12,2,135,43,1,3,17,11
s208_CD,1,344,2605,6282,34,16,15,34986,12,305,202,6264,6,410,160,550,4,108,3,1,3,1,2,3,1,10,1,1,8,6,1,21,1,877,5,4737,722,1,26,109,34,3,284,52,1,21,15,7
s209_no,28,42,329,107,126,6,1,4551,1,742,119,466,1,22,107,512,18,29,16,9,7,1,3,1,1,12,1,1,1,15,5,5,2,39,1,818,98,373,62,9,2,1,231,16,13,3,4,1
s210_no,2,1525,733,870,251,42,1,14417,3,1466,232,1823,1,61,318,100,1,280,113,6,1,5,1,2,1,166,1,5,233,35,2,686,75,556,3,113,488,21,17,5,1,1,2,11,13,6,726,122
s211_CD,1,234,2206,2908,16,26,15,18898,9,277,170,3968,2,127,130,189,2,139,4,1,1,2,1,3,1,6,1,1,3,1,2,7,1,558,8,3922,472,2,33,41,30,1,248,10,1,10,2,1
s212_CD,1,2794,828,4610,4,56,61,17432,11,2571,406,3872,6,1685,76,79,15,300,388,12,396,1,2,1,1,41,1,1,137,2,11228,54,36,2915,2,1346,846,1,22,975,30,1,195,7,11,33,646,167
s213_CD,1,514,1341,17,1,18,97,16252,22,10,1,150,4,27,9,7007,2,45,2,1,1,1,6,14,1,5,1,1,1,124,1,3,1,9,22,2857,29,467,143,9,56,1,203,32,1,245,7,96
s214_CD,3,932,497,1246,94,3,14,8874,11,3632,251,3522,6,874,1816,1579,3,367,3,5,187,1,1,1,1,253,1,3,255,27,1,391,68,826,1,193,564,3,18,29,1,1,1,8,19,16,1599,76
s215_CD,1,13,204,45,51,2,14,340,1,205,46,208,1,4605,46,7679,4,18,1,1,3,29,1,2,1,1,1,1,7,645,2,25,1,39,6,149,50,1,16,248,24,1,50,1,1,5,58,19
s216_CD,1,908,756,161,1,9,68,20075,1,4582,132,3195,1,1139,288,1650,3,171,418,1,1,1,4,8,3,6,1,1,4,2,5,153,249,1682,4,1631,1137,1,30,86,119,1,54,25,3,4,12,2
s217_CD,1,219,152,1728,2,2,56,8794,1,491,3,822,47,5562,12,4247,2,68,1,1,15,1,18,20,2,29,1,1,6,1,172,1,1,70,28,411,111,1,280,117,28,1,1,2,1,1,2,62
s218_CD,1,3154,881,317,8,19,3,13155,44,8637,17,1524,1,2624,227,274,1,774,6,3,2,4,1,4,2,112,16,1,1,2,1,1,1,628,1,1449,244,1,9,2,1,1,2,1,1,40,5,2
s219_CD,2,1020,1025,2535,41,451,23,16392,13,3207,549,4848,1,258,1997,950,1,717,20,1,1,1,1,4,1,479,21,3,484,31,3,1237,359,2617,1,1212,1482,78,15,5,2,2,70,1,50,190,1345,661
s220_CD,1,2,2056,8,91,102,306,67,1,1694,14,4297,1,1316,1292,3070,1,983,1,1,1,21,2,3,2,481,14,1,4,8,1,2391,9,988,6,147,589,1,62,1,49,2,11,1,2,223,4,1
s221_CD,1,408,751,1151,25,201,11,18425,16,2425,197,1989,1,140,431,131,1,178,171,1,2,1,4,1,1,241,1,2,817,3,8,115,3,1752,3,611,665,2,39,3,14,1,7,1,14,14,2493,355
s222_CD,1,6,7,4,1,1,20,8558,1,12,4,55,46,1481,2,12374,2,3,201,1,1,1,1,30,1,4,1,1,6,1,1,2,1,3,14,37,9,1,136,1159,1505,70,2,1,1,1,1,1
s223_CD,1,4,15,3,37,1,230,12779,1,21,1,25,17,4609,4,365,181,3,8,1,1,1,13,42,1,1,10,1,1,19,1,6,1,18,34,7,118,18,511,18,4978,3,12,1,1,7,3,1
s224_CD,1,159,122,156,14,9,13,17908,1,52,30,224,1,1484,12,2177,2,82,10,1,2,1,1,10,2,27,1,1,1,1,3,43,1,208,1,58,55,1,35,15,69,1,1,1,1,1,13,2
s225_CD,5,1,316,3,1,107,8,9100,3,2591,951,3084,1,7,677,10,1,303,4,1,162,1,2,1,1,64,1,4,1,4,1,4734,40,3054,4,2428,1576,35,31,1,7,1,2,1,44,17,126,1
s226_CD,1,1805,370,17,9,22,27,10581,1,706,4,1908,1,17,180,6038,2,1,1,1,35,10,1,21,1,33,1,1,1,20,2,23,1,344,11,414,208,1,65,1,15,1,28,1,1,17,20,33
s227_no,1,3235,264,1883,15,36,3,14809,3,5590,209,1719,1,35,337,80,1,139,4,85,1,13,3,16,156,45,2,1,9,1,323,434,524,771,9,416,447,16,40,9,8,1,54,16,13,1,8,53
s228_CD,23,300,663,347,22,18,28,6766,1,2029,72,854,1,597,163,8096,1,77,573,16,1,1,1,13,1,360,1,1,18,775,4,506,1,496,2,182,638,471,62,69,156,2,25,1,1,23,75,26
s229_no,1,5,50,2,7,1,9,5071,1,38,3,36,131,7412,9,1738,3,5,11,1,1,1,2,450,1,1,1,1,1,11,1,7,23,26,30,19,24,1,119,1306,509,98,2,1,1,1,1,1
s230_no,1,664,100,3,1,60,45,13905,14,2727,475,2722,1,64,241,133,1,82,361,1,1,1,1,1,2,18,1,1,2,1,1,12,1377,1969,1,37,546,3,6,1,10,1,1,1,8,10,1,62
s231_CD,8,1465,462,52,78,5158,95,27765,19,644,153,2930,1,3616,1122,1207,780,201,2,2,432,3,13,6,2,325,2,3,1,1923,43,490,351,405,20,350,2809,19,621,9,69,2,9,1,65,538,4,174
s232_CD,1,3238,985,33,14,15,7,20175,21,3239,4,5001,1,69,493,10458,4,6,3,1,122,1,1,1,2,182,1,1,4,43,5,23,2,1400,1,869,185,4,4,3,5,5,11,1,19,15,5,146
s233_CD,1,613,2842,1513,225,108,16,9713,2,7491,157,3208,2,182,204,105,3,92,258,52,3,1,1,5,1,27,2,1,5,73,7,1625,3,451,5,757,440,44,63,2,16,4,12,1,2,601,49,3
s234_CD,1,1981,4052,203,2,87,203,27882,39,7579,2,2125,1,1263,105,23,5,1,5,1,832,1,2,575,2,299,1,1,6,1,1,1,1,59,4,2916,168,1,35,43,1319,454,2,1,1,143,14,958
s235_CD,1,2,937,4,23,1,431,8430,16,1678,13,788,6,60,162,1540,2,859,2,1,1,1,5,1,1,112,1,1,1,86,3,13,68,2789,9,295,324,1,25,12,1,1,1,2,1,68,5,1
s236_no,4,5517,1907,387,159,42,519,14518,36,3918,273,2712,1,1445,37,225,2,222,61,83,2,1,1,5,1,39,1,1,2,46,1,566,5,693,1,1281,686,3,32,11,725,2,56,1,40,465,1,57
s237_CD,1,919,526,545,2,4,36,14610,8,1382,44,2367,1,831,515,5,1,112,1,1,70,1,11,1,1,75,1,1,2,1,1,6,8,293,3,40,97,1,12,6,1,1,2,1,6,1,658,1
s238_CD,1,1065,451,936,1,3,86,18973,4,2575,37,2775,1,3326,417,5,1,89,1,1,71,1,45,1,1,79,1,1,1,1,3,4,5,536,14,43,157,1,47,14,1,1,1,1,9,1,443,1
s239_no,1,903,492,1385,49,195,42,18036,9,2093,286,2545,4,40,241,15,1,140,2,99,1,1,1,6,2,145,1,1,1,10,2,397,100,1845,3,635,1039,13,30,1,18,1,1,2,13,28,137,32
s240_CD,1,498,3156,13612,77,1097,303,8704,3,986,209,4966,667,7693,226,182,4,123,3,1,2,3,8,13,1,104,1,1,1,6,1,1321,28,1928,140,772,499,1,301,143,996,4,10,1,55,2928,110,62
s241_no,1,14,308,8,2,21,8,523,1,740,2009,3264,1,12,3,9536,1,34,7,1,2,1,1,1,1,1,1,1,2,1,1,48,73,1286,1,2372,73,1,2,1,18,1,142,34,2,1,4,2
s242_no,7,1193,255,2934,10,226,3,33894,1,3975,168,4004,1,37,232,13,1,96,2,12,1,1,2,1,28,1231,1,60,122,1,1,251,162,2521,12,295,1846,22,32,5,1,1,3,4,56,21,1589,273
s243_CD,1,670,498,525,7,16,8,14539,12,1349,87,705,1,49,307,72,1,120,34,1,6,1,10,1,17,539,1,1,207,2,1,77,1,620,1,93,381,1,23,19,111,1,1,13,51,10,1297,51
s244_CD,1,51,1,168,1,1,11,435,1,90,1,90,1,72,8,3921,17,1,1,1,1,1,1,1,1,3,1,1,1,1,4,5,1,1,1,7,5,1,64,28,4,1,1,1,1,1,2,1
